City,Country,Temperature (C),Max Temperature (C),Humidity,Cloudiness,Windspeed (mph),Latitude,Longitude
Punta Arenas,CL,2.96,3.06,65,20,8.23,-53.15,-70.9167
Cherskiy,RU,5.63,5.63,68,4,4.34,68.75,161.3
Thompson,CA,18.09,18.09,72,75,1.03,55.7435,-97.8558
Butaritari,KI,27.53,27.53,75,12,7.99,3.0707,172.7902
Laas,IT,22.23,23.49,89,55,2.28,46.6166,10.7002
Chui,UY,18.08,18.08,87,90,2.54,-33.6971,-53.4616
Castro,BR,22.73,22.73,44,0,1.93,-24.7911,-50.0119
Richards Bay,ZA,14.52,14.52,80,0,3.1,-28.783,32.0377
Barrow,US,2.01,2.01,93,100,6.69,71.2906,-156.7887
Mataura,NZ,6.93,6.93,97,100,3.42,-46.1927,168.8643
Saint Anthony,US,24.13,26.38,65,100,4.12,45.0205,-93.218
Khatanga,RU,18.27,18.27,60,54,3.94,71.9667,102.5
Imeni Poliny Osipenko,RU,11.55,11.55,96,38,1.9,52.4201,136.4853
Chicama,PE,17.3,17.3,65,100,4.26,-7.8447,-79.1469
Bredasdorp,ZA,10.72,10.72,90,100,2.78,-34.5322,20.0403
Cape Town,ZA,13.39,14.51,81,20,3.6,-33.9258,18.4232
Najrān,SA,31.36,31.36,34,100,1.1,17.4924,44.1277
Nikolskoye,RU,22.18,23.78,70,83,3.09,59.7035,30.7861
Kahului,US,26.86,27.2,71,0,7.6,20.8947,-156.47
Maragogi,BR,24.39,24.39,83,84,5.08,-9.0122,-35.2225
Saint-Philippe,RE,18.88,19.01,81,4,4.1,-21.3585,55.7679
Guerrero Negro,MX,27.43,27.43,48,44,3.36,27.9769,-114.0611
Arraial do Cabo,BR,23.92,24.98,78,20,8.23,-22.9661,-42.0278
Rikitea,PF,24.02,24.02,76,100,6.08,-23.1203,-134.9692
La Primavera,CO,28.19,28.19,74,96,2.17,5.4906,-70.4092
Christchurch,NZ,8.24,8.84,97,100,7.2,-43.5333,172.6333
Alice,US,34.89,35.69,49,0,3.6,27.7523,-98.0697
Kapaa,US,26.64,27.18,73,40,8.23,22.0752,-159.319
Upernavik,GL,3.63,3.63,89,100,5.13,72.7868,-56.1549
Busselton,AU,9.68,9.68,83,0,2.96,-33.65,115.3333
Hobart,AU,6.61,6.92,95,100,2.06,-42.8794,147.3294
Braniewo,PL,17.53,17.53,83,100,5.28,54.3797,19.8196
Bogorodskoye,RU,19.02,19.02,88,35,1.62,56.55,37.8833
Hilo,US,23.6,27.93,93,75,0.45,19.7297,-155.09
San Rafael,AR,12.2,12.2,73,100,3.59,-34.6177,-68.3301
Kiboga,UG,18.48,18.48,60,47,1.51,0.9161,31.7742
